index,Наименование параметра,5822
64,Наибольшее число двойных ходов шлифовальной бабки в минуту при наименьшем затыловочном перемещении,
65,"Высота однониточного шлифовального круга, мм",
66,"Высота многониточного шлифовального круга, мм",
67,"Наибольший угол поворота шлифовальной бабки в вертикальной плоскости, град",±15°
68,"Наибольший диаметр шлифовального круга, мм",300..400
69,"Ширина однониточного шлифовального круга, мм",10
70,"Ширина многониточного шлифовального круга, мм",20..40
71,Предохранение механизма главного движения от перегрузки,нет
72,Предохранение механизма подач от перегрузки,нет
73,Число оборотов изделия в мин / ускорннное,"0,3..45/ 100"
74,Привод и электрооборудование станка,
75,Количество электродвигателей на станке,
76,"Электродвигатель главного привода - шлифовального шпинделя, кВт (об/мин)","4,5 (1440)"
77,"Электродвигатель шпинделя изделия, кВт (об/мин)","0,45 (1500)"
78,"Электродвигатель привода электромашинного усилителя (встроенный), кВт (об/мин)","1,9 (2850)"
79,"Электродвигатель привода электромашинного усилителя, кВт (об/мин)","1,2 (2850)"
80,"Электродвигатель смазки шлифовального шпинделя, кВт (об/мин)","0,08 (1390)"
81,"Электродвигатель смазки станка, кВт (об/мин)","0,08 (1390)"
82,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,75 (2850)"
83,"Электродвигатель привода вентилятора, кВт (об/мин)","0,6 (2800)"
84,"Электродвигатель магнитного сепаратора, кВт (об/мин)",
85,"Электродвигатель приспособления для шлифования центра, кВт (об/мин)","0,08 (2760)"
86,"Электродвигатель подачи правильного прибора, кВт (об/мин)","0,05 (1390)"
87,"Электродвигатель привода правильного прибора, кВ (об/мин)т","0,05 (1390)"
88,"Электродвигатель привода редуктора накатки многониточного круга, кВт","0,25 (2800)"
89,"Суммарная мощность электродвигателей, кВт",
90,Габаритные размеры и масса станка,
91,"Габаритные размеры станка (длина х ширина х высота), мм",2510 х 2025 х 1480
92,"Масса станка с электрооборудованием и охлаждением, кг",3850
