index,Наименование параметра,5822М
63,"Перемещение бабки на одно микрометрическое деление лимба/ один оборот лимба, мм",
64,Наибольшее число двойных ходов шлифовальной бабки в минуту при наименьшем затыловочном перемещении,81
65,"Высота однониточного шлифовального круга, мм",10
66,"Высота многониточного шлифовального круга, мм","20, 40"
67,"Наибольший угол поворота шлифовальной бабки в вертикальной плоскости, град",
68,"Наибольший диаметр шлифовального круга, мм",300..400
69,"Ширина однониточного шлифовального круга, мм",
70,"Ширина многониточного шлифовального круга, мм",
71,Предохранение механизма главного движения от перегрузки,
72,Предохранение механизма подач от перегрузки,
73,Число оборотов изделия в мин / ускорннное,
74,Привод и электрооборудование станка,
75,Количество электродвигателей на станке,12
76,"Электродвигатель главного привода - шлифовального шпинделя, кВт (об/мин)",55
77,"Электродвигатель шпинделя изделия, кВт (об/мин)",076
78,"Электродвигатель привода электромашинного усилителя (встроенный), кВт (об/мин)",323
79,"Электродвигатель привода электромашинного усилителя, кВт (об/мин)",
80,"Электродвигатель смазки шлифовального шпинделя, кВт (об/мин)",008
81,"Электродвигатель смазки станка, кВт (об/мин)",008
82,"Электродвигатель насоса охлаждения, кВт (об/мин)",055
83,"Электродвигатель привода вентилятора, кВт (об/мин)",06
84,"Электродвигатель магнитного сепаратора, кВт (об/мин)",012
85,"Электродвигатель приспособления для шлифования центра, кВт (об/мин)",008
86,"Электродвигатель подачи правильного прибора, кВт (об/мин)",005
87,"Электродвигатель привода правильного прибора, кВ (об/мин)т",005
88,"Электродвигатель привода редуктора накатки многониточного круга, кВт",027
89,"Суммарная мощность электродвигателей, кВт",
90,Габаритные размеры и масса станка,
91,"Габаритные размеры станка (длина х ширина х высота), мм",2560 х 2290 х 1450
92,"Масса станка с электрооборудованием и охлаждением, кг",5000
